0,0.30035
1,2.7986
2,-7.1944
3,32.7776
4,-127.1104
5,512.4416
6,-2045.7664
7,8187.0656
8,-32744.2624
9,130981.0496
10,-523920.1984
11,2095684.7936
12,-8382735.1744
13,33530944.6976
14,-134123774.7904
15,536495103.1616
16,-2145980408.6464
17,8583921638.5856
18,-34335686550.3424
19,137342746205.3696
20,-549370984817.4784
21,2197483939273.9136
22,-8789935757091.654
23,35159743028370.617
24,-140638972113478.47
25,562555888453917.9
26,-2250223553815667.5
27,9000894215262674.0
28,-3.6003576861050692e+16
29,1.4401430744420277e+17
30,-5.760572297768111e+17
31,2.3042289191072443e+18
32,-9.216915676428977e+18
33,3.686766270571591e+19
34,-1.4747065082286363e+20
35,5.8988260329145454e+20
36,-2.3595304131658182e+21
37,9.438121652663273e+21
38,-3.775248661065309e+22
39,1.5100994644261236e+23
40,-6.0403978577044945e+23
41,2.4161591430817978e+24
42,-9.664636572327191e+24
43,3.8658546289308765e+25
44,-1.5463418515723506e+26
45,6.185367406289402e+26
46,-2.474146962515761e+27
47,9.896587850063044e+27
48,-3.9586351400252175e+28
49,1.583454056010087e+29
